Tanggal,Prov,Provinsi,Running Sum of divaksin2 (ribu),divaksin2 (ribu)
3/9/2021,Sulawesi Tenggara,Sulawesi Tenggara,16.386,0.508
3/10/2021,Sulawesi Tenggara,Sulawesi Tenggara,16.886,0.5
3/11/2021,Sulawesi Tenggara,Sulawesi Tenggara,16.941,0.055
3/12/2021,Sulawesi Tenggara,Sulawesi Tenggara,17.3,0.359
3/13/2021,Sulawesi Tenggara,Sulawesi Tenggara,17.45,0.15
3/14/2021,Sulawesi Tenggara,Sulawesi Tenggara,17.454,0.004
3/15/2021,Sulawesi Tenggara,Sulawesi Tenggara,17.763,0.309
3/16/2021,Sulawesi Tenggara,Sulawesi Tenggara,18.054,0.291
3/17/2021,Sulawesi Tenggara,Sulawesi Tenggara,18.636,0.582
3/18/2021,Sulawesi Tenggara,Sulawesi Tenggara,19.31,0.674
3/19/2021,Sulawesi Tenggara,Sulawesi Tenggara,19.996,0.686
3/20/2021,Sulawesi Tenggara,Sulawesi Tenggara,20.183,0.187
3/21/2021,Sulawesi Tenggara,Sulawesi Tenggara,20.187,0.004
3/22/2021,Sulawesi Tenggara,Sulawesi Tenggara,21.226,1.039
3/23/2021,Sulawesi Tenggara,Sulawesi Tenggara,23.004,1.778
3/24/2021,Sulawesi Tenggara,Sulawesi Tenggara,25.152,2.148
3/25/2021,Sulawesi Tenggara,Sulawesi Tenggara,25.425,0.273
3/26/2021,Sulawesi Tenggara,Sulawesi Tenggara,26.282,0.857
3/27/2021,Sulawesi Tenggara,Sulawesi Tenggara,26.549,0.267
3/28/2021,Sulawesi Tenggara,Sulawesi Tenggara,26.556,0.007
3/29/2021,Sulawesi Tenggara,Sulawesi Tenggara,27.68,1.124
3/30/2021,Sulawesi Tenggara,Sulawesi Tenggara,28.538,0.858
3/31/2021,Sulawesi Tenggara,Sulawesi Tenggara,29.32,0.782
4/1/2021,Sulawesi Tenggara,Sulawesi Tenggara,29.849,0.529
4/2/2021,Sulawesi Tenggara,Sulawesi Tenggara,29.966,0.117
4/3/2021,Sulawesi Tenggara,Sulawesi Tenggara,30.167,0.201
4/4/2021,Sulawesi Tenggara,Sulawesi Tenggara,30.17,0.003
4/5/2021,Sulawesi Tenggara,Sulawesi Tenggara,30.811,0.641
4/6/2021,Sulawesi Tenggara,Sulawesi Tenggara,31.378,0.567
4/7/2021,Sulawesi Tenggara,Sulawesi Tenggara,31.99,0.612
4/8/2021,Sulawesi Tenggara,Sulawesi Tenggara,32.651,0.661
4/9/2021,Sulawesi Tenggara,Sulawesi Tenggara,33.075,0.424
4/10/2021,Sulawesi Tenggara,Sulawesi Tenggara,33.281,0.206
4/11/2021,Sulawesi Tenggara,Sulawesi Tenggara,33.282,0.001
4/12/2021,Sulawesi Tenggara,Sulawesi Tenggara,34.04,0.758
4/13/2021,Sulawesi Tenggara,Sulawesi Tenggara,34.421,0.381
4/14/2021,Sulawesi Tenggara,Sulawesi Tenggara,34.831,0.41
4/15/2021,Sulawesi Tenggara,Sulawesi Tenggara,35.202,0.371
4/16/2021,Sulawesi Tenggara,Sulawesi Tenggara,35.357,0.155
4/17/2021,Sulawesi Tenggara,Sulawesi Tenggara,35.457,0.1
4/18/2021,Sulawesi Tenggara,Sulawesi Tenggara,35.458,0.001
4/19/2021,Sulawesi Tenggara,Sulawesi Tenggara,36.021,0.563
4/20/2021,Sulawesi Tenggara,Sulawesi Tenggara,36.381,0.36
4/21/2021,Sulawesi Tenggara,Sulawesi Tenggara,37.068,0.687
4/22/2021,Sulawesi Tenggara,Sulawesi Tenggara,38.402,1.334
4/23/2021,Sulawesi Tenggara,Sulawesi Tenggara,38.963,0.561
4/24/2021,Sulawesi Tenggara,Sulawesi Tenggara,39.389,0.426
4/25/2021,Sulawesi Tenggara,Sulawesi Tenggara,39.41,0.021
4/26/2021,Sulawesi Tenggara,Sulawesi Tenggara,40.129,0.719
4/27/2021,Sulawesi Tenggara,Sulawesi Tenggara,40.6,0.471
4/28/2021,Sulawesi Tenggara,Sulawesi Tenggara,41.741,1.141
4/29/2021,Sulawesi Tenggara,Sulawesi Tenggara,42.514,0.773
4/30/2021,Sulawesi Tenggara,Sulawesi Tenggara,42.59,0.076
5/1/2021,Sulawesi Tenggara,Sulawesi Tenggara,42.782,0.192
5/2/2021,Sulawesi Tenggara,Sulawesi Tenggara,42.803,0.021
5/3/2021,Sulawesi Tenggara,Sulawesi Tenggara,43.867,1.064
5/4/2021,Sulawesi Tenggara,Sulawesi Tenggara,44.982,1.115
5/5/2021,Sulawesi Tenggara,Sulawesi Tenggara,47.848,2.866
5/6/2021,Sulawesi Tenggara,Sulawesi Tenggara,49.741,1.893
5/7/2021,Sulawesi Tenggara,Sulawesi Tenggara,51.069,1.328
5/8/2021,Sulawesi Tenggara,Sulawesi Tenggara,51.801,0.732
5/9/2021,Sulawesi Tenggara,Sulawesi Tenggara,51.801,0
5/10/2021,Sulawesi Tenggara,Sulawesi Tenggara,52.601,0.8
5/11/2021,Sulawesi Tenggara,Sulawesi Tenggara,52.742,0.141
5/12/2021,Sulawesi Tenggara,Sulawesi Tenggara,52.752,0.01
5/13/2021,Sulawesi Tenggara,Sulawesi Tenggara,52.757,0.005
5/15/2021,Sulawesi Tenggara,Sulawesi Tenggara,52.819,0.062
5/16/2021,Sulawesi Tenggara,Sulawesi Tenggara,52.819,0
5/17/2021,Sulawesi Tenggara,Sulawesi Tenggara,53.237,0.418
5/18/2021,Sulawesi Tenggara,Sulawesi Tenggara,53.649,0.412
5/19/2021,Sulawesi Tenggara,Sulawesi Tenggara,54.21,0.561
5/20/2021,Sulawesi Tenggara,Sulawesi Tenggara,54.644,0.434
5/21/2021,Sulawesi Tenggara,Sulawesi Tenggara,54.953,0.309
5/22/2021,Sulawesi Tenggara,Sulawesi Tenggara,55.079,0.126
5/23/2021,Sulawesi Tenggara,Sulawesi Tenggara,55.109,0.03
5/24/2021,Sulawesi Tenggara,Sulawesi Tenggara,56.066,0.957
5/25/2021,Sulawesi Tenggara,Sulawesi Tenggara,56.912,0.846
5/26/2021,Sulawesi Tenggara,Sulawesi Tenggara,57.076,0.164
5/27/2021,Sulawesi Tenggara,Sulawesi Tenggara,58.475,1.399
5/28/2021,Sulawesi Tenggara,Sulawesi Tenggara,59.42,0.945
5/29/2021,Sulawesi Tenggara,Sulawesi Tenggara,59.82,0.4
5/30/2021,Sulawesi Tenggara,Sulawesi Tenggara,59.838,0.018
5/31/2021,Sulawesi Tenggara,Sulawesi Tenggara,60.838,1
6/1/2021,Sulawesi Tenggara,Sulawesi Tenggara,61.399,0.561
6/2/2021,Sulawesi Tenggara,Sulawesi Tenggara,63.89,2.491
6/3/2021,Sulawesi Tenggara,Sulawesi Tenggara,65.59,1.7
6/4/2021,Sulawesi Tenggara,Sulawesi Tenggara,66.624,1.034
6/5/2021,Sulawesi Tenggara,Sulawesi Tenggara,66.963,0.339
6/6/2021,Sulawesi Tenggara,Sulawesi Tenggara,66.987,0.024
6/7/2021,Sulawesi Tenggara,Sulawesi Tenggara,68.097,1.11
6/8/2021,Sulawesi Tenggara,Sulawesi Tenggara,68.586,0.489
6/9/2021,Sulawesi Tenggara,Sulawesi Tenggara,68.835,0.249
6/10/2021,Sulawesi Tenggara,Sulawesi Tenggara,69.116,0.281
6/11/2021,Sulawesi Tenggara,Sulawesi Tenggara,69.322,0.206
6/12/2021,Sulawesi Tenggara,Sulawesi Tenggara,69.47,0.148
6/13/2021,Sulawesi Tenggara,Sulawesi Tenggara,69.477,0.007
6/14/2021,Sulawesi Tenggara,Sulawesi Tenggara,70.262,0.785
6/15/2021,Sulawesi Tenggara,Sulawesi Tenggara,71.5,1.238
6/16/2021,Sulawesi Tenggara,Sulawesi Tenggara,72.965,1.465
6/17/2021,Sulawesi Tenggara,Sulawesi Tenggara,74.975,2.01
6/18/2021,Sulawesi Tenggara,Sulawesi Tenggara,76.304,1.329
6/19/2021,Sulawesi Tenggara,Sulawesi Tenggara,77.554,1.25
6/20/2021,Sulawesi Tenggara,Sulawesi Tenggara,77.67,0.116
6/21/2021,Sulawesi Tenggara,Sulawesi Tenggara,79.866,2.196
6/22/2021,Sulawesi Tenggara,Sulawesi Tenggara,82.117,2.251
6/23/2021,Sulawesi Tenggara,Sulawesi Tenggara,83.044,0.927
6/24/2021,Sulawesi Tenggara,Sulawesi Tenggara,85.351,2.307
6/25/2021,Sulawesi Tenggara,Sulawesi Tenggara,86.7,1.349
6/26/2021,Sulawesi Tenggara,Sulawesi Tenggara,89.839,3.139
6/27/2021,Sulawesi Tenggara,Sulawesi Tenggara,90.061,0.222
6/28/2021,Sulawesi Tenggara,Sulawesi Tenggara,91.727,1.666
6/29/2021,Sulawesi Tenggara,Sulawesi Tenggara,92.504,0.777
6/30/2021,Sulawesi Tenggara,Sulawesi Tenggara,94.754,2.25
7/1/2021,Sulawesi Tenggara,Sulawesi Tenggara,97.42,2.666
7/2/2021,Sulawesi Tenggara,Sulawesi Tenggara,99.38,1.96
7/3/2021,Sulawesi Tenggara,Sulawesi Tenggara,100.534,1.154
7/4/2021,Sulawesi Tenggara,Sulawesi Tenggara,100.773,0.239
7/5/2021,Sulawesi Tenggara,Sulawesi Tenggara,103.273,2.5
7/6/2021,Sulawesi Tenggara,Sulawesi Tenggara,105.081,1.808
7/7/2021,Sulawesi Tenggara,Sulawesi Tenggara,107.022,1.941
7/8/2021,Sulawesi Tenggara,Sulawesi Tenggara,109.477,2.455
7/9/2021,Sulawesi Tenggara,Sulawesi Tenggara,110.943,1.466
7/10/2021,Sulawesi Tenggara,Sulawesi Tenggara,112.107,1.164
7/11/2021,Sulawesi Tenggara,Sulawesi Tenggara,112.223,0.116
7/12/2021,Sulawesi Tenggara,Sulawesi Tenggara,114.277,2.054
7/13/2021,Sulawesi Tenggara,Sulawesi Tenggara,117.072,2.795
7/14/2021,Sulawesi Tenggara,Sulawesi Tenggara,119.645,2.573
7/15/2021,Sulawesi Tenggara,Sulawesi Tenggara,123.268,3.623
7/16/2021,Sulawesi Tenggara,Sulawesi Tenggara,126.045,2.777
7/17/2021,Sulawesi Tenggara,Sulawesi Tenggara,127.674,1.629
7/18/2021,Sulawesi Tenggara,Sulawesi Tenggara,127.872,0.198
7/19/2021,Sulawesi Tenggara,Sulawesi Tenggara,128.852,0.98
7/20/2021,Sulawesi Tenggara,Sulawesi Tenggara,128.879,0.027
7/21/2021,Sulawesi Tenggara,Sulawesi Tenggara,130.229,1.35
7/22/2021,Sulawesi Tenggara,Sulawesi Tenggara,132.886,2.657
7/23/2021,Sulawesi Tenggara,Sulawesi Tenggara,134.107,1.221
7/24/2021,Sulawesi Tenggara,Sulawesi Tenggara,141.478,7.371
7/25/2021,Sulawesi Tenggara,Sulawesi Tenggara,141.615,0.137
7/26/2021,Sulawesi Tenggara,Sulawesi Tenggara,145.332,3.717
7/27/2021,Sulawesi Tenggara,Sulawesi Tenggara,147.832,2.5
7/28/2021,Sulawesi Tenggara,Sulawesi Tenggara,152.314,4.482
7/29/2021,Sulawesi Tenggara,Sulawesi Tenggara,155.169,2.855
7/30/2021,Sulawesi Tenggara,Sulawesi Tenggara,157.743,2.574
7/31/2021,Sulawesi Tenggara,Sulawesi Tenggara,159.717,1.974
8/1/2021,Sulawesi Tenggara,Sulawesi Tenggara,160.008,0.291
8/2/2021,Sulawesi Tenggara,Sulawesi Tenggara,163.313,3.305
8/3/2021,Sulawesi Tenggara,Sulawesi Tenggara,167.154,3.841
8/4/2021,Sulawesi Tenggara,Sulawesi Tenggara,172.142,4.988
8/5/2021,Sulawesi Tenggara,Sulawesi Tenggara,178.881,6.739
8/6/2021,Sulawesi Tenggara,Sulawesi Tenggara,184.207,5.326
8/7/2021,Sulawesi Tenggara,Sulawesi Tenggara,187.227,3.02
8/8/2021,Sulawesi Tenggara,Sulawesi Tenggara,187.565,0.338
8/9/2021,Sulawesi Tenggara,Sulawesi Tenggara,193.426,5.861
8/10/2021,Sulawesi Tenggara,Sulawesi Tenggara,198.196,4.77
8/11/2021,Sulawesi Tenggara,Sulawesi Tenggara,199.119,0.923
8/12/2021,Sulawesi Tenggara,Sulawesi Tenggara,203.867,4.748
8/13/2021,Sulawesi Tenggara,Sulawesi Tenggara,207.616,3.749
8/14/2021,Sulawesi Tenggara,Sulawesi Tenggara,211.16,3.544
8/15/2021,Sulawesi Tenggara,Sulawesi Tenggara,211.652,0.492
8/16/2021,Sulawesi Tenggara,Sulawesi Tenggara,218.305,6.653
8/17/2021,Sulawesi Tenggara,Sulawesi Tenggara,218.636,0.331
8/18/2021,Sulawesi Tenggara,Sulawesi Tenggara,222.644,4.008
8/19/2021,Sulawesi Tenggara,Sulawesi Tenggara,227.163,4.519
8/20/2021,Sulawesi Tenggara,Sulawesi Tenggara,230.027,2.864
8/21/2021,Sulawesi Tenggara,Sulawesi Tenggara,232.434,2.407
8/22/2021,Sulawesi Tenggara,Sulawesi Tenggara,232.815,0.381
8/23/2021,Sulawesi Tenggara,Sulawesi Tenggara,236.063,3.248
8/24/2021,Sulawesi Tenggara,Sulawesi Tenggara,238.05,1.987
8/25/2021,Sulawesi Tenggara,Sulawesi Tenggara,240.791,2.741
8/26/2021,Sulawesi Tenggara,Sulawesi Tenggara,242.767,1.976
8/27/2021,Sulawesi Tenggara,Sulawesi Tenggara,243.83,1.063
8/28/2021,Sulawesi Tenggara,Sulawesi Tenggara,244.854,1.024
8/29/2021,Sulawesi Tenggara,Sulawesi Tenggara,245.044,0.19
8/30/2021,Sulawesi Tenggara,Sulawesi Tenggara,246.759,1.715
8/31/2021,Sulawesi Tenggara,Sulawesi Tenggara,248.307,1.548
9/1/2021,Sulawesi Tenggara,Sulawesi Tenggara,251.022,2.715
9/2/2021,Sulawesi Tenggara,Sulawesi Tenggara,253.772,2.75
9/3/2021,Sulawesi Tenggara,Sulawesi Tenggara,256.217,2.445
9/4/2021,Sulawesi Tenggara,Sulawesi Tenggara,258.341,2.124
9/5/2021,Sulawesi Tenggara,Sulawesi Tenggara,258.437,0.096
9/6/2021,Sulawesi Tenggara,Sulawesi Tenggara,261.119,2.682
9/7/2021,Sulawesi Tenggara,Sulawesi Tenggara,264.441,3.322
9/8/2021,Sulawesi Tenggara,Sulawesi Tenggara,266.186,1.745
9/9/2021,Sulawesi Tenggara,Sulawesi Tenggara,269.205,3.019
9/10/2021,Sulawesi Tenggara,Sulawesi Tenggara,271.452,2.247
9/11/2021,Sulawesi Tenggara,Sulawesi Tenggara,273.582,2.13
9/12/2021,Sulawesi Tenggara,Sulawesi Tenggara,273.7,0.118
9/13/2021,Sulawesi Tenggara,Sulawesi Tenggara,277.996,4.296
9/14/2021,Sulawesi Tenggara,Sulawesi Tenggara,280.106,2.11
9/15/2021,Sulawesi Tenggara,Sulawesi Tenggara,283.771,3.665
9/16/2021,Sulawesi Tenggara,Sulawesi Tenggara,287.827,4.056
9/17/2021,Sulawesi Tenggara,Sulawesi Tenggara,290.305,2.478
9/18/2021,Sulawesi Tenggara,Sulawesi Tenggara,294.591,4.286
9/19/2021,Sulawesi Tenggara,Sulawesi Tenggara,294.912,0.321
9/20/2021,Sulawesi Tenggara,Sulawesi Tenggara,300.985,6.073
9/21/2021,Sulawesi Tenggara,Sulawesi Tenggara,303.71,2.725
9/22/2021,Sulawesi Tenggara,Sulawesi Tenggara,308.373,4.663
9/23/2021,Sulawesi Tenggara,Sulawesi Tenggara,312.171,3.798
9/24/2021,Sulawesi Tenggara,Sulawesi Tenggara,315.817,3.646
9/25/2021,Sulawesi Tenggara,Sulawesi Tenggara,318.821,3.004
9/26/2021,Sulawesi Tenggara,Sulawesi Tenggara,318.961,0.14
9/27/2021,Sulawesi Tenggara,Sulawesi Tenggara,321.73,2.769
9/28/2021,Sulawesi Tenggara,Sulawesi Tenggara,324.13,2.4
9/29/2021,Sulawesi Tenggara,Sulawesi Tenggara,326.883,2.753
9/30/2021,Sulawesi Tenggara,Sulawesi Tenggara,331.199,4.316
10/1/2021,Sulawesi Tenggara,Sulawesi Tenggara,334.076,2.877
10/2/2021,Sulawesi Tenggara,Sulawesi Tenggara,336.787,2.711
10/3/2021,Sulawesi Tenggara,Sulawesi Tenggara,336.861,0.074
10/4/2021,Sulawesi Tenggara,Sulawesi Tenggara,340.415,3.554
10/5/2021,Sulawesi Tenggara,Sulawesi Tenggara,343.596,3.181
10/6/2021,Sulawesi Tenggara,Sulawesi Tenggara,348.17,4.574
10/7/2021,Sulawesi Tenggara,Sulawesi Tenggara,351.671,3.501
10/8/2021,Sulawesi Tenggara,Sulawesi Tenggara,353.719,2.048
10/9/2021,Sulawesi Tenggara,Sulawesi Tenggara,356.644,2.925
10/10/2021,Sulawesi Tenggara,Sulawesi Tenggara,356.865,0.221
10/11/2021,Sulawesi Tenggara,Sulawesi Tenggara,360.33,3.465
10/12/2021,Sulawesi Tenggara,Sulawesi Tenggara,363.718,3.388
10/13/2021,Sulawesi Tenggara,Sulawesi Tenggara,369.377,5.659
10/14/2021,Sulawesi Tenggara,Sulawesi Tenggara,373.639,4.262
10/15/2021,Sulawesi Tenggara,Sulawesi Tenggara,376.629,2.99
10/16/2021,Sulawesi Tenggara,Sulawesi Tenggara,380.246,3.617
10/17/2021,Sulawesi Tenggara,Sulawesi Tenggara,380.523,0.277
10/18/2021,Sulawesi Tenggara,Sulawesi Tenggara,384.874,4.351
10/19/2021,Sulawesi Tenggara,Sulawesi Tenggara,387.822,2.948
10/20/2021,Sulawesi Tenggara,Sulawesi Tenggara,389.113,1.291
10/21/2021,Sulawesi Tenggara,Sulawesi Tenggara,393.861,4.748
10/22/2021,Sulawesi Tenggara,Sulawesi Tenggara,396.375,2.514
10/23/2021,Sulawesi Tenggara,Sulawesi Tenggara,398.418,2.043
10/24/2021,Sulawesi Tenggara,Sulawesi Tenggara,398.503,0.085
10/25/2021,Sulawesi Tenggara,Sulawesi Tenggara,401.148,2.645
10/26/2021,Sulawesi Tenggara,Sulawesi Tenggara,403.808,2.66
10/27/2021,Sulawesi Tenggara,Sulawesi Tenggara,406.277,2.469
10/28/2021,Sulawesi Tenggara,Sulawesi Tenggara,411.429,5.152
10/29/2021,Sulawesi Tenggara,Sulawesi Tenggara,413.584,2.155
10/30/2021,Sulawesi Tenggara,Sulawesi Tenggara,415.347,1.763
10/31/2021,Sulawesi Tenggara,Sulawesi Tenggara,415.522,0.175
11/1/2021,Sulawesi Tenggara,Sulawesi Tenggara,418.041,2.519
11/2/2021,Sulawesi Tenggara,Sulawesi Tenggara,420.133,2.092
11/3/2021,Sulawesi Tenggara,Sulawesi Tenggara,422.572,2.439
11/4/2021,Sulawesi Tenggara,Sulawesi Tenggara,425.857,3.285
11/5/2021,Sulawesi Tenggara,Sulawesi Tenggara,428.641,2.784
11/6/2021,Sulawesi Tenggara,Sulawesi Tenggara,431.043,2.402
11/7/2021,Sulawesi Tenggara,Sulawesi Tenggara,431.35,0.307
11/8/2021,Sulawesi Tenggara,Sulawesi Tenggara,434.351,3.001
11/9/2021,Sulawesi Tenggara,Sulawesi Tenggara,437.186,2.835
11/10/2021,Sulawesi Tenggara,Sulawesi Tenggara,440.098,2.912
11/11/2021,Sulawesi Tenggara,Sulawesi Tenggara,444.417,4.319
11/12/2021,Sulawesi Tenggara,Sulawesi Tenggara,447.552,3.135
11/13/2021,Sulawesi Tenggara,Sulawesi Tenggara,448.877,1.325
11/14/2021,Sulawesi Tenggara,Sulawesi Tenggara,448.966,0.089
11/15/2021,Sulawesi Tenggara,Sulawesi Tenggara,451.859,2.893
11/16/2021,Sulawesi Tenggara,Sulawesi Tenggara,455.055,3.196
11/17/2021,Sulawesi Tenggara,Sulawesi Tenggara,458.919,3.864
11/18/2021,Sulawesi Tenggara,Sulawesi Tenggara,462.674,3.755
11/19/2021,Sulawesi Tenggara,Sulawesi Tenggara,464.963,2.289
11/20/2021,Sulawesi Tenggara,Sulawesi Tenggara,466.66,1.697
11/21/2021,Sulawesi Tenggara,Sulawesi Tenggara,466.91,0.25
11/22/2021,Sulawesi Tenggara,Sulawesi Tenggara,470.142,3.232
11/23/2021,Sulawesi Tenggara,Sulawesi Tenggara,472.945,2.803
11/24/2021,Sulawesi Tenggara,Sulawesi Tenggara,476.403,3.458
11/25/2021,Sulawesi Tenggara,Sulawesi Tenggara,480.026,3.623
11/26/2021,Sulawesi Tenggara,Sulawesi Tenggara,481.889,1.863
11/27/2021,Sulawesi Tenggara,Sulawesi Tenggara,487.424,5.535
11/28/2021,Sulawesi Tenggara,Sulawesi Tenggara,488.251,0.827
11/29/2021,Sulawesi Tenggara,Sulawesi Tenggara,491.596,3.345
11/30/2021,Sulawesi Tenggara,Sulawesi Tenggara,495.2,3.604
12/1/2021,Sulawesi Tenggara,Sulawesi Tenggara,498.603,3.403
12/2/2021,Sulawesi Tenggara,Sulawesi Tenggara,503.493,4.89
12/3/2021,Sulawesi Tenggara,Sulawesi Tenggara,506.532,3.039
12/4/2021,Sulawesi Tenggara,Sulawesi Tenggara,510.527,3.995
12/5/2021,Sulawesi Tenggara,Sulawesi Tenggara,510.874,0.347
12/6/2021,Sulawesi Tenggara,Sulawesi Tenggara,514.629,3.755
12/7/2021,Sulawesi Tenggara,Sulawesi Tenggara,519.061,4.432
12/8/2021,Sulawesi Tenggara,Sulawesi Tenggara,524.491,5.43
12/9/2021,Sulawesi Tenggara,Sulawesi Tenggara,530.085,5.594
12/10/2021,Sulawesi Tenggara,Sulawesi Tenggara,534.37,4.285
12/11/2021,Sulawesi Tenggara,Sulawesi Tenggara,539.125,4.755
12/12/2021,Sulawesi Tenggara,Sulawesi Tenggara,540.338,1.213
12/13/2021,Sulawesi Tenggara,Sulawesi Tenggara,546.378,6.04
12/14/2021,Sulawesi Tenggara,Sulawesi Tenggara,554.131,7.753
12/15/2021,Sulawesi Tenggara,Sulawesi Tenggara,563.429,9.298
12/16/2021,Sulawesi Tenggara,Sulawesi Tenggara,572.015,8.586
12/17/2021,Sulawesi Tenggara,Sulawesi Tenggara,578.73,6.715
12/18/2021,Sulawesi Tenggara,Sulawesi Tenggara,585.459,6.729
12/19/2021,Sulawesi Tenggara,Sulawesi Tenggara,588.211,2.752
12/20/2021,Sulawesi Tenggara,Sulawesi Tenggara,595.854,7.643
12/21/2021,Sulawesi Tenggara,Sulawesi Tenggara,603.032,7.178
12/22/2021,Sulawesi Tenggara,Sulawesi Tenggara,610.879,7.847
12/23/2021,Sulawesi Tenggara,Sulawesi Tenggara,618.312,7.433
12/24/2021,Sulawesi Tenggara,Sulawesi Tenggara,623.964,5.652
12/25/2021,Sulawesi Tenggara,Sulawesi Tenggara,627.247,3.283
12/26/2021,Sulawesi Tenggara,Sulawesi Tenggara,629.158,1.911
12/27/2021,Sulawesi Tenggara,Sulawesi Tenggara,634.146,4.988
1/13/2021,Sulawesi Tengah,Sulawesi Tengah,0,0
1/14/2021,Sulawesi Tengah,Sulawesi Tengah,0.001,0.001
1/15/2021,Sulawesi Tengah,Sulawesi Tengah,0.001,0
1/16/2021,Sulawesi Tengah,Sulawesi Tengah,0.001,0
1/18/2021,Sulawesi Tengah,Sulawesi Tengah,0.001,0
1/19/2021,Sulawesi Tengah,Sulawesi Tengah,0.001,0
1/20/2021,Sulawesi Tengah,Sulawesi Tengah,0.001,0
1/21/2021,Sulawesi Tengah,Sulawesi Tengah,0.003,0.002
1/22/2021,Sulawesi Tengah,Sulawesi Tengah,0.003,0
1/23/2021,Sulawesi Tengah,Sulawesi Tengah,0.004,0.001
1/24/2021,Sulawesi Tengah,Sulawesi Tengah,0.004,0
1/25/2021,Sulawesi Tengah,Sulawesi Tengah,0.005,0.001
1/26/2021,Sulawesi Tengah,Sulawesi Tengah,0.006,0.001
1/27/2021,Sulawesi Tengah,Sulawesi Tengah,0.006,0
1/28/2021,Sulawesi Tengah,Sulawesi Tengah,0.082,0.076
1/29/2021,Sulawesi Tengah,Sulawesi Tengah,0.227,0.145
1/30/2021,Sulawesi Tengah,Sulawesi Tengah,0.319,0.092
1/31/2021,Sulawesi Tengah,Sulawesi Tengah,0.319,0
2/1/2021,Sulawesi Tengah,Sulawesi Tengah,0.491,0.172
2/2/2021,Sulawesi Tengah,Sulawesi Tengah,0.703,0.212
2/3/2021,Sulawesi Tengah,Sulawesi Tengah,0.937,0.234
2/4/2021,Sulawesi Tengah,Sulawesi Tengah,1.201,0.264
2/5/2021,Sulawesi Tengah,Sulawesi Tengah,1.464,0.263
2/6/2021,Sulawesi Tengah,Sulawesi Tengah,1.612,0.148
2/7/2021,Sulawesi Tengah,Sulawesi Tengah,1.613,0.001
2/8/2021,Sulawesi Tengah,Sulawesi Tengah,1.76,0.147
2/9/2021,Sulawesi Tengah,Sulawesi Tengah,1.989,0.229
2/10/2021,Sulawesi Tengah,Sulawesi Tengah,2.21,0.221
2/11/2021,Sulawesi Tengah,Sulawesi Tengah,2.425,0.215
2/12/2021,Sulawesi Tengah,Sulawesi Tengah,2.489,0.064
2/13/2021,Sulawesi Tengah,Sulawesi Tengah,2.713,0.224
2/14/2021,Sulawesi Tengah,Sulawesi Tengah,2.717,0.004
2/15/2021,Sulawesi Tengah,Sulawesi Tengah,3.053,0.336
2/16/2021,Sulawesi Tengah,Sulawesi Tengah,3.455,0.402
2/17/2021,Sulawesi Tengah,Sulawesi Tengah,4.135,0.68
2/18/2021,Sulawesi Tengah,Sulawesi Tengah,5.231,1.096
2/19/2021,Sulawesi Tengah,Sulawesi Tengah,6.455,1.224
2/20/2021,Sulawesi Tengah,Sulawesi Tengah,7.528,1.073
2/21/2021,Sulawesi Tengah,Sulawesi Tengah,7.681,0.153
2/22/2021,Sulawesi Tengah,Sulawesi Tengah,9.071,1.39
2/23/2021,Sulawesi Tengah,Sulawesi Tengah,10.889,1.818
2/24/2021,Sulawesi Tengah,Sulawesi Tengah,12.865,1.976
2/25/2021,Sulawesi Tengah,Sulawesi Tengah,14.133,1.268
2/26/2021,Sulawesi Tengah,Sulawesi Tengah,14.335,0.202
2/27/2021,Sulawesi Tengah,Sulawesi Tengah,15.092,0.757
2/28/2021,Sulawesi Tengah,Sulawesi Tengah,15.095,0.003
3/1/2021,Sulawesi Tengah,Sulawesi Tengah,15.677,0.582
3/2/2021,Sulawesi Tengah,Sulawesi Tengah,16.232,0.555
3/3/2021,Sulawesi Tengah,Sulawesi Tengah,16.6,0.368
3/4/2021,Sulawesi Tengah,Sulawesi Tengah,16.983,0.383
3/5/2021,Sulawesi Tengah,Sulawesi Tengah,17.326,0.343
3/6/2021,Sulawesi Tengah,Sulawesi Tengah,17.572,0.246
3/7/2021,Sulawesi Tengah,Sulawesi Tengah,17.592,0.02
3/8/2021,Sulawesi Tengah,Sulawesi Tengah,17.949,0.357
3/9/2021,Sulawesi Tengah,Sulawesi Tengah,18.252,0.303
3/10/2021,Sulawesi Tengah,Sulawesi Tengah,18.701,0.449
3/11/2021,Sulawesi Tengah,Sulawesi Tengah,18.808,0.107
3/12/2021,Sulawesi Tengah,Sulawesi Tengah,18.996,0.188
3/13/2021,Sulawesi Tengah,Sulawesi Tengah,19.43,0.434
3/14/2021,Sulawesi Tengah,Sulawesi Tengah,19.437,0.007
3/15/2021,Sulawesi Tengah,Sulawesi Tengah,20.002,0.565
3/16/2021,Sulawesi Tengah,Sulawesi Tengah,20.622,0.62
3/17/2021,Sulawesi Tengah,Sulawesi Tengah,21.471,0.849
3/18/2021,Sulawesi Tengah,Sulawesi Tengah,22.635,1.164
3/19/2021,Sulawesi Tengah,Sulawesi Tengah,24.092,1.457
3/20/2021,Sulawesi Tengah,Sulawesi Tengah,25.293,1.201
3/21/2021,Sulawesi Tengah,Sulawesi Tengah,25.689,0.396
3/22/2021,Sulawesi Tengah,Sulawesi Tengah,28.075,2.386
3/23/2021,Sulawesi Tengah,Sulawesi Tengah,30.553,2.478
